dalal_1,dalal_2,dalal_3,dalal_4,dalal_5,dalal_6
0.0357085965842222,0.102422739842638,0.432330343050822,0.881135852189109,0.999794165619554,0.999811710561151
5.29098967782603e-06,1.37643034122341e-05,0.313564789673283,0.793308237939413,0.970842872902889,0.979219082031678
0.789454698858634,0.358800110305517,0.140898244180877,0.0904044681891762,0.00758147135317828,0.00758354242068282
0.120218237769406,0.120225697681711,0.170498076349685,0.249552674926426,0.706692679500192,0.85728525951218
0.00130925966226406,0.00130926342300763,0.000877469580260212,0.00243375677779567,0.269734656722896,0.759837387568498
0.477826033721894,0.478527801318925,0.547566187225583,0.643797135728479,0.374246300156791,0.434641690593557
0.00172965506138975,0.00533433036370442,0.25940945729908,0.765771653244928,0.999590321560077,0.999703233124768
0.882483342817528,0.674355225723939,0.496589107256929,0.54845247734697,0.418329505188806,0.413369971728928
0.9999902519247,0.999975908022277,0.74213857149095,0.23268759520787,6.48165878874209e-06,7.21446551223099e-06
3.32424085721578e-05,0.000101325107462726,0.25704795335937,0.766279815342336,0.999998720320913,0.99999877569214
8.11749088893247e-05,0.000242402452423118,0.284063633501646,0.768389480737357,0.999761052912233,0.999837720718555
5.13678132302683e-07,1.57413808342489e-06,0.099090753964781,0.29359311784356,0.549348416977263,0.851675198199754
0.542219456540279,0.542457400972,0.555297859170119,0.556545140843552,0.495258985182032,0.526138520986877
4.695590385552e-06,4.7148937940902e-06,4.02523876861626e-05,0.000237146031399786,0.265498166462791,0.758773062716759
0.0401625104896015,0.121584163213949,0.359166181655129,0.758510190062312,0.957770707946358,0.985915651536621
0.999974332282204,0.999952653049717,0.746438739031521,0.233753981845768,0.000517412082017653,0.000573330977555933
0.000560727830838013,0.000365299541129806,0.256526051571185,0.772130029856278,0.983602837865795,0.952409510437116
